"","date","tv.spend","direct.net.home","direct.home","organic.net.home","organic.home","paid.brand.sessions","organic.net.home.forecast","organic.home.forecast","direct.net.home.forecast","direct.home.forecast","paid.brand.sessions.forecast"
"77",2015-02-09,15515.15,15093,4972,22019,3423,5961,22506.7692944685,4482.4697334024,11334.6261142301,5473.97277932496,5648.93075021791
"78",2015-02-16,0,11110,3255,20890,2486,4597,21384.4478568119,2809.87494448226,12601.5171521077,3771.06757914408,5090.26441374673
"79",2015-02-23,13866,9799,6109,18619,3128,5162,21209.0794320941,3049.64580769732,11943.846965165,4378.77905402598,5230.92263165622
"80",2015-03-02,28474,9706,9252,18214,4014,5820,18451.9563527556,3494.46068017736,11397.7574588284,6867.98968642071,5808.19829574359
"81",2015-03-09,23818,9803,7737,17671,3824,5545,17878.8996758068,3887.12537351909,10897.7107118386,8198.11787580079,5525.1494845327
"82",2015-03-16,8303,9634,5637,16091,3382,4575,17087.4312506668,3352.56601849279,10591.5588473886,6141.98927520983,4704.52264651472
"83",2015-03-23,8012,8662,5009,15603,3334,4584,15834.6870340784,3461.38121897206,10332.0899255259,5370.51153869562,4494.61229060187
"84",2015-03-30,42040,8971,6735,15670,3972,5950,16528.121224617,4019.74466820278,10130.6230049797,7329.5981975497,6169.8699704748
"85",2015-04-06,29459,9830,5936,17908,3893,5662,15088.9421063227,3723.96071126959,9612.95664768038,5901.2215505676,5295.82595016222
"86",2015-04-13,29376,9345,6014,17272,3829,5484,18495.2643703285,3931.55106536535,9717.65801302514,5951.66876410923,5591.73938253196
"87",2015-04-20,44284,10917,8232,18121,4641,6540,17554.5597317923,4059.34943448009,9859.34950692071,7046.86853964246,6120.66164341438
"88",2015-04-27,25404,9604,5268,17073,3827,5058,17671.3857081348,4388.81600050553,9895.94667278478,6677.45564796344,5579.09285867919
"89",2015-05-04,3201,7574,3555,16845,3200,3878,16248.6063450964,3088.31799286109,9772.31736473836,3737.34073042001,3888.55961957932
"90",2015-05-11,0,8770,3593,14492,3259,3838,16845.8677796129,3364.08739112877,9129.08769583729,3429.76482977066,3653.88804980839
"91",2015-05-18,0,7676,2877,13636,2721,3485,13982.8756755199,3191.81106027835,9086.05027868363,3650.23534690478,3777.30878543446
"92",2015-05-25,0,7999,2951,14647,2879,3622,13441.8265755415,2640.21707805624,8662.52712849416,3081.29405675668,3429.89085910346
"93",2015-06-01,0,7870,2984,14830,3017,3587,14876.3333319247,3085.35672808662,8500.86316453591,3134.30258207618,3564.72444524325
"94",2015-06-08,0,8398,5507,15172,3792,4847,14871.5113746214,2884.91243375735,8327.56842603076,3155.67316202586,3530.2779086382
"95",2015-06-15,0,8831,5329,15309,3759,4811,15249.5786345383,3953.32574691022,8369.98589091617,5150.13713252838,4770.35322642022
"96",2015-06-22,0,8597,7793,16796,3925,5429,15340.0768214379,3467.90462283657,8511.83944676344,5019.15946827055,4734.92250305502
"97",2015-06-29,0,8991,8195,16819,4601,6494,17133.3082735629,4120.55918364803,8523.93935059869,6980.15420578308,5343.1499208243
"98",2015-07-06,0,7701,5209,16785,3285,4128,16824.2172765918,4558.52191375866,8665.64648128114,7320.79933313082,6391.30882037816
"99",2015-07-13,0,7267,6109,16874,3633,3388,16777.2875041687,2927.25927425792,8351.57817585104,4978.90779192173,4062.72294587635
"100",2015-07-20,0,8288,7420,18118,4258,3038,16894.188592029,4220.06940517017,8044.11748820794,5698.46522991345,3334.42474336945
"101",2015-07-27,0,6717,6204,16810,3665,2991,18400.1866121804,3944.99922889675,8154.73287908408,6748.4452484637,2989.95937731889
"102",2015-08-03,0,7429,7198,16427,3781,4576,16513.2957486078,3584.73163617333,7702.43339144806,5803.46998911081,2943.7025995921
"103",2015-08-10,0,6896,6727,15491,3514,4565,16340.1210028416,3994.34719864871,7661.81651335777,6602.03990143815,4503.63861442107
"104",2015-08-17,0,7418,6987,15419,3723,5017,15278.6795265266,3324.21768836596,7434.54311349774,6245.23314635553,4492.81256005948
"105",2015-08-24,0,6949,6862,15109,3482,4905,15402.6676558867,3928.86833986792,7453.59845477557,6464.46565091974,4937.66497564478
"106",2015-08-31,0,6720,6905,14411,3048,4922,15038.6801850676,3276.87759444632,7298.55575657899,6379.77354098067,4827.4360585086
"107",2015-09-07,0,6700,6790,14406,2947,5273,14252.6669973457,3153.33892187682,7134.65723850449,6427.07573390478,4844.16723343106
"108",2015-09-14,0,5636,4856,14157,2518,3547,14404.8658094366,2982.92902866973,7018.3532128957,6348.9785954009,5189.61678624177
"109",2015-09-21,0,5195,4615,13958,2249,3183,14100.5173099414,2455.48181458817,6603.53146682123,4828.71023935585,3490.91043823242
"110",2015-09-28,0,5182,4433,14116,2218,3155,13912.8592155756,2349.59726190587,6209.74365496889,4638.50097605317,3132.66645753983
"111",2015-10-05,0,5442,3747,14134,2213,3165,14151.8404218043,2225.80541484194,5936.28395634761,4493.62514337851,3105.10922825579
"112",2015-10-12,25000,7144,5759,14692,2736,4710,14944.7915207848,2741.91237984051,5782.4307220427,5801.11411189707,4370.37188997185
"113",2015-10-19,50000,7900,7751,15223,3170,5916,15347.8866114419,3252.55124971024,6674.98818286778,7644.1784807392,5827.31981318527
"114",2015-10-26,50000,6289,6173,11946,2485,4922,15181.8735325925,3157.95079433508,7013.84847754561,7853.31046942273,5860.83343643628
"115",2015-11-02,125000,NA,NA,NA,NA,NA,12773.1293667103,3902.60878518861,11032.2974640177,10985.2878829356,7897.5581570759
"116",2015-11-09,125000,NA,NA,NA,NA,NA,12604.509596976,4108.45553352749,11052.9615251499,11312.104832355,7858.73375782682
"117",2015-11-16,125000,NA,NA,NA,NA,NA,12566.260206648,4048.20309035391,11053.889733235,11562.0941943228,7820.52329811531
"118",2015-11-23,125000,NA,NA,NA,NA,NA,12557.5837871347,4019.61987923426,11053.9314273745,11753.3164709154,7782.91706956821
"119",2015-11-30,125000,NA,NA,NA,NA,NA,12555.6156445074,4046.14851452823,11053.9333002318,11899.586531279,7745.90551733318
"120",2015-12-07,125000,NA,NA,NA,NA,NA,12555.1691947483,4042.98055916064,11053.9333843586,12011.47166799,7709.47923765107
"121",2015-12-14,125000,NA,NA,NA,NA,NA,12555.0679229276,4037.49041620911,11053.9333881375,12097.0550319794,7673.62897546663
"122",2015-12-21,50000,NA,NA,NA,NA,NA,10984.5670886392,2541.55913792968,6770.66577035018,7777.48717184307,4623.33926185376
"123",2015-12-28,50000,NA,NA,NA,NA,NA,10984.561877644,2541.78916084964,6770.66577035781,7827.56243791964,4588.61385259417
"124",2016-01-04,0,NA,NA,NA,NA,NA,9465.54909744438,1497.48876142111,6351.90556943228,4290.84864417617,2127.0688676778
