Date, Revenue , Order Count 
12/13/2013," 112,012 ", 19 
12/14/2013," 90,832 ", 17 
12/15/2013," 109,526 ", 22 
12/16/2013," 160,094 ", 36 
12/17/2013," 195,146 ", 33 
12/18/2013," 105,977 ", 15 
12/19/2013," 132,915 ", 24 
12/20/2013," 122,037 ", 16 
12/21/2013," 31,346 ", 6 
12/22/2013," 43,272 ", 6 
12/23/2013," 111,035 ", 27 
12/24/2013," 144,776 ", 11 
12/25/2013," 20,940 ", 3 
12/26/2013," 91,111 ", 13 
12/27/2013," 122,440 ", 14 
12/28/2013," 175,258 ", 16 
12/29/2013," 58,780 ", 12 
12/30/2013," 47,918 ", 15 
12/31/2013," 72,706 ", 7 
1/1/2014," 18,112 ", 5 
1/2/2014," 67,728 ", 13 
1/3/2014," 111,040 ", 20 
1/4/2014," 42,460 ", 10 
1/5/2014," 57,564 ", 12 
1/6/2014," 131,399 ", 17 
1/7/2014," 512,974 ", 17 
1/8/2014," 61,917 ", 11 
1/9/2014," 39,522 ", 13 
1/10/2014," 54,380 ", 9 
1/11/2014," 38,633 ", 5 
1/12/2014," 188,196 ", 12 
1/13/2014," 116,741 ", 15 
1/14/2014," 177,425 ", 12 
1/15/2014," 48,669 ", 13 
1/16/2014," 188,218 ", 17 
1/17/2014," 120,810 ", 13 
1/18/2014," 16,503 ", 7 
1/19/2014," 19,038 ", 5 
1/20/2014," 104,639 ", 12 
1/21/2014," 113,985 ", 14 
1/22/2014," 160,159 ", 19 
1/23/2014," 179,134 ", 18 
1/24/2014," 113,721 ", 15 
1/25/2014," 72,379 ", 10 
1/26/2014," 121,931 ", 11 
1/27/2014," 130,628 ", 21 
1/28/2014," 45,046 ", 16 
1/29/2014," 136,284 ", 13 
1/30/2014," 137,306 ", 22 
1/31/2014," 155,358 ", 21 
2/1/2014," 171,416 ", 20 
2/2/2014," 64,474 ", 10 
2/3/2014," 113,147 ", 17 
2/4/2014," 136,662 ", 25 
2/5/2014," 139,723 ", 29 
2/6/2014," 124,560 ", 21 
2/7/2014," 169,249 ", 25 
2/8/2014," 42,791 ", 14 
2/9/2014," 57,641 ", 10 
2/10/2014," 149,011 ", 26 
2/11/2014," 102,532 ", 24 
2/12/2014," 102,572 ", 28 
2/13/2014," 91,352 ", 21 
2/14/2014," 78,374 ", 13 
2/15/2014," 103,487 ", 18 
2/16/2014," 56,189 ", 11 
2/17/2014," 355,035 ", 18 
2/18/2014," 65,188 ", 18 
2/19/2014," 115,250 ", 18 
2/20/2014," 160,875 ", 22 
2/21/2014," 86,545 ", 12 
2/22/2014," 69,059 ", 14 
2/23/2014," 75,733 ", 7 
2/24/2014," 41,665 ", 12 
2/25/2014," 50,030 ", 8 
2/26/2014," 69,446 ", 16 
2/27/2014," 127,213 ", 24 
2/28/2014," 107,564 ", 6 
3/1/2014," 71,718 ", 9 
3/2/2014," 65,305 ", 12 
3/3/2014," 72,151 ", 17 
3/4/2014," 162,341 ", 23 
3/5/2014," 106,704 ", 20 
3/6/2014," 125,383 ", 17 
3/7/2014," 91,855 ", 15 
3/8/2014," 68,382 ", 12 
3/9/2014," 52,618 ", 12 
3/10/2014," 116,661 ", 18 
3/11/2014," 59,705 ", 16 
3/12/2014," 150,042 ", 17 
3/13/2014," 86,083 ", 20 
3/14/2014," 102,242 ", 18 
3/15/2014," 41,676 ", 7 
3/16/2014," 21,346 ", 7 
3/17/2014," 73,910 ", 16 
3/18/2014," 64,927 ", 16 
3/19/2014," 331,177 ", 17 
3/20/2014," 127,107 ", 17 
3/21/2014," 65,818 ", 12 
3/22/2014," 80,584 ", 10 
3/23/2014," 42,736 ", 12 
3/24/2014," 103,672 ", 15 
3/25/2014," 105,028 ", 18 
3/26/2014," 119,448 ", 26 
3/27/2014," 84,548 ", 17 
3/28/2014," 107,149 ", 19 
3/29/2014," 56,223 ", 10 
3/30/2014," 46,506 ", 15 
3/31/2014," 41,917 ", 12 
4/1/2014," 111,521 ", 18 
4/2/2014," 446,236 ", 16 
4/3/2014," 153,228 ", 22 
4/4/2014," 189,010 ", 20 
4/5/2014," 45,000 ", 12 
4/6/2014," 31,173 ", 8 
4/7/2014," 76,018 ", 17 
4/8/2014," 89,520 ", 14 
4/9/2014," 128,494 ", 20 
4/10/2014," 111,742 ", 19 
4/11/2014," 17,966 ", 11 
4/12/2014," 64,389 ", 13 
4/13/2014," 28,008 ", 6 
4/14/2014," 154,136 ", 20 
4/15/2014," 143,216 ", 22 
4/16/2014," 119,756 ", 23 
4/17/2014," 98,258 ", 18 
4/18/2014," 59,247 ", 10 
4/19/2014," 69,311 ", 7 
4/20/2014," 58,034 ", 12 
4/21/2014," 29,757 ", 10 
4/22/2014," 107,555 ", 13 
4/23/2014," 74,553 ", 15 
4/24/2014," 84,241 ", 18 
4/25/2014," 73,443 ", 15 
4/26/2014," 38,122 ", 9 
4/27/2014," 67,897 ", 12 
4/28/2014," 74,661 ", 18 
4/29/2014," 135,133 ", 24 
4/30/2014," 90,925 ", 14 
5/1/2014," 145,905 ", 22 
5/2/2014," 82,748 ", 21 
5/3/2014, 955 , 3 
5/4/2014," 73,366 ", 17 
5/5/2014," 120,851 ", 25 
5/6/2014," 98,905 ", 27 
5/7/2014," 92,278 ", 27 
5/8/2014," 108,801 ", 15 
5/9/2014," 146,828 ", 11 
5/10/2014," 57,439 ", 12 
5/11/2014," 46,939 ", 11 
5/12/2014," 143,583 ", 20 
5/13/2014," 79,940 ", 20 
5/14/2014," 112,664 ", 18 
5/15/2014," 115,302 ", 19 
5/16/2014," 45,065 ", 8 
5/17/2014," 9,401 ", 4 
5/18/2014," 30,272 ", 12 
5/19/2014," 72,228 ", 15 
5/20/2014," 131,484 ", 13 
5/21/2014," 103,680 ", 14 
5/22/2014," 125,196 ", 21 
5/23/2014," 239,936 ", 17 
5/24/2014," 4,825 ", 2 
5/25/2014," 39,006 ", 8 
5/26/2014," 275,984 ", 5 
5/27/2014," 190,268 ", 24 
5/28/2014," 91,586 ", 16 
5/29/2014," 252,030 ", 21 
5/30/2014," 80,966 ", 17 
5/31/2014," 60,436 ", 10 
6/1/2014," 77,041 ", 16 
6/2/2014," 144,627 ", 14 
6/3/2014," 110,393 ", 14 
6/4/2014," 117,099 ", 20 
6/5/2014," 100,957 ", 17 
6/6/2014," 79,061 ", 9 
6/7/2014," 46,569 ", 10 
6/8/2014," 56,463 ", 12 
6/9/2014," 44,641 ", 13 
6/10/2014," 154,229 ", 29 
6/11/2014," 80,075 ", 16 
6/12/2014," 90,961 ", 16 
6/13/2014," 130,437 ", 21 
6/14/2014," 39,926 ", 10 
6/15/2014," 75,543 ", 11 
6/16/2014," 64,080 ", 12 
6/17/2014," 52,245 ", 12 
6/18/2014," 164,721 ", 17 
6/19/2014," 125,686 ", 17 
6/20/2014," 42,134 ", 13 
6/21/2014," 22,286 ", 6 
6/22/2014," 37,645 ", 12 
6/23/2014," 182,488 ", 22 
6/24/2014," 87,553 ", 15 
6/25/2014," 131,193 ", 23 
6/26/2014," 125,733 ", 18 
6/27/2014," 115,145 ", 14 
6/28/2014," 63,471 ", 10 
6/29/2014," 39,149 ", 7 
6/30/2014," 54,191 ", 12 
7/1/2014," 99,140 ", 15 
7/2/2014," 173,429 ", 26 
7/3/2014," 242,579 ", 33 
7/4/2014," 20,544 ", 5 
7/5/2014," 45,559 ", 10 
7/6/2014," 52,836 ", 13 
7/7/2014," 50,623 ", 15 
7/8/2014," 120,913 ", 21 
7/9/2014," 70,203 ", 21 
7/10/2014," 189,293 ", 29 
7/11/2014," 306,942 ", 24 
7/12/2014," 52,986 ", 14 
7/13/2014," 72,077 ", 10 
7/14/2014," 157,244 ", 24 
7/15/2014," 228,645 ", 38 
7/16/2014," 140,915 ", 26 
7/17/2014," 194,502 ", 16 
7/18/2014," 94,350 ", 19 
7/19/2014," 42,994 ", 13 
7/20/2014," 45,857 ", 16 
7/21/2014," 118,567 ", 28 
7/22/2014," 175,342 ", 35 
7/23/2014," 99,823 ", 22 
7/24/2014," 113,191 ", 25 
7/25/2014," 190,845 ", 20 
7/26/2014," 44,297 ", 9 
7/27/2014," 89,793 ", 18 
7/28/2014," 89,948 ", 18 
7/29/2014," 151,911 ", 24 
7/30/2014," 75,409 ", 16 
7/31/2014," 180,146 ", 25 
