"","date","tv.spend","direct.net.home","direct.home","organic.net.home","organic.home","paid.brand.sessions","organic.net.home.forecast","organic.home.forecast","direct.net.home.forecast","direct.home.forecast","paid.brand.sessions.forecast"
"84",2015-03-30,42040,8971,6735,15670,3972,5950,16149.4415991674,3881.43163751665,10126.9405473044,7051.11839074694,5388.57803524642
"85",2015-04-06,29459,9830,5936,17908,3893,5662,15323.6498121738,3715.5934053497,9602.39103854592,6020.24707661363,6145.92015410327
"86",2015-04-13,29376,9345,6014,17272,3829,5484,18409.6335279701,3821.72274318431,9705.29901208879,5928.59403109098,4543.70162806799
"87",2015-04-20,44284,10917,8232,18121,4641,6540,17412.1157272107,3953.39860132855,9853.6508859412,6832.69121531807,7388.06822405117
"88",2015-04-27,25404,9604,5268,17073,3827,5058,17895.0881865283,4367.76270383756,9886.23988511226,6722.86059991084,5812.71183101786
"89",2015-05-04,3201,7574,3555,16845,3200,3878,16491.1653840832,3111.91638954079,9763.01117639974,3971.55978233442,4265.09867298207
"90",2015-05-11,0,8770,3593,14492,3259,3838,16821.7189187556,3181.71434595586,9122.16766968085,3459.56545527128,4406.86660735755
"91",2015-05-18,0,7676,2877,13636,2721,3485,14025.4696990181,3289.93523911919,9073.18904982971,3591.0237011622,2761.97997848832
"92",2015-05-25,0,7999,2951,14647,2879,3622,13461.3695407164,2520.77405012895,8652.52393559875,3011.96318562445,3578.13338477957
"93",2015-06-01,0,7870,2984,14830,3017,3587,14853.2516288969,3014.22476694296,8488.80207171068,3012.35419877481,3575.43620868986
"94",2015-06-08,41724.98660239,8398,5507,15172,3792,4847,15670.7606054952,3624.57173603451,8541.92870050989,5547.53446186986,4031.25419540234
"95",2015-06-15,37384.8701979911,8831,5329,15309,3759,4811,15000.2623003925,3623.70025343783,8428.78188550224,5244.74425266771,4345.23533446236
"96",2015-06-22,47852.64,8597,7793,16796,3925,5429,15537.5897061856,3850.58371792548,8790.83107536092,5884.61378570137,6092.54314106204
"97",2015-06-29,93670.66,8991,8195,16819,4601,6494,17775.7329769434,4631.09364128405,10737.5893507984,9753.49834099789,6910.15904840454
"98",2015-07-06,0,7701,5209,16785,3285,4128,15053.3058187282,2927.59572959444,7812.03270419377,2887.36929761108,3764.38595608559
"99",2015-07-13,21778,7267,6109,16874,3633,3388,17544.8346871854,3662.53693898001,7775.02888631103,6033.33858769169,4750.09587272288
"100",2015-07-20,40760,8288,7420,18118,4258,3038,17154.3232084956,3792.79065203139,7878.1029333672,6889.02664261969,4273.15285463716
"101",2015-07-27,26420,6717,6204,16810,3665,2991,18037.4872736651,4002.79717366826,7800.35295898697,6217.97224443296,1643.14388651
"102",2015-08-03,46033,7429,7198,16427,3781,4576,16952.2403178717,3760.14766275421,7793.46461331543,7129.90399359477,3622.75519925131
"103",2015-08-10,44094,6896,6727,15491,3514,4565,16242.4579643077,3749.32768997553,7662.97893474118,6909.22110011987,4699.04394579048
"104",2015-08-17,44736,7418,6987,15419,3723,5017,15318.2113524804,3484.50365782133,7451.75811839788,6673.80023643364,3675.78017545225
"105",2015-08-24,42911,6949,6862,15109,3482,4905,15369.9576695484,3738.69456018002,7420.40201954073,6725.08835651344,5907.63796695441
"106",2015-08-31,45000,6720,6905,14411,3048,4922,15088.9739064937,3353.8434148189,7324.82591820971,6829.7771662981,4477.20260272466
"107",2015-09-07,45000,6700,6790,14406,2947,5273,14261.120548725,2970.55718712784,7150.48143404823,6768.97257557198,5097.24509855183
"108",2015-09-14,0,5636,4856,14157,2518,3547,13543.9113506128,2273.87846254946,6727.91827509064,3937.28887758833,3395.16788151722
"109",2015-09-21,0,5195,4615,13958,2249,3183,14281.8666153819,2557.63888320725,6402.76907202083,4544.90561638404,3664.72791392697
"110",2015-09-28,0,5182,4433,14116,2218,3155,13917.4024983675,2046.7370469374,6059.11168510206,4390.28623740864,3056.50596432435
"111",2015-10-05,0,5442,3747,14134,2213,3165,14148.233192251,2246.90323468656,5821.70188964157,4262.91737220542,3366.19969856462
"112",2015-10-12,25000,7144,5759,14692,2736,4710,14634.4319270749,2587.61163805965,5702.60659166003,5297.24742694501,3727.98143771126
"113",2015-10-19,50000,7900,7751,15223,3170,5916,15155.2824051264,3129.47101989199,6617.40198053525,7079.77266038759,6752.70993791679
"114",2015-10-26,50000,6289,6173,11946,2485,4922,15239.3636614164,3087.63241927956,6975.6462445118,7479.7611548169,4543.86027340123
"115",2015-11-02,125000,NA,NA,NA,NA,NA,12354.0089884814,3615.93122373006,11000.9940512353,10134.722101393,7327.34333848501
"116",2015-11-09,125000,NA,NA,NA,NA,NA,12217.6232673164,3762.03767533939,11018.3088804432,10171.53903934,7398.81618652575
"117",2015-11-16,125000,NA,NA,NA,NA,NA,12189.7995510468,3809.67188267585,11018.9942646221,10162.8077491748,7045.81618652575
"118",2015-11-23,125000,NA,NA,NA,NA,NA,12184.123302973,3737.1258065281,11019.0213946312,10129.4350739942,7182.81618652575
"119",2015-11-30,125000,NA,NA,NA,NA,NA,12182.9653055336,3673.1000051123,11019.022468536,10082.9803768643,7147.81618652575
"120",2015-12-07,125000,NA,NA,NA,NA,NA,12182.7290653178,3649.49534783469,11019.0225110451,10029.8301033511,6960.18026274899
"121",2015-12-14,125000,NA,NA,NA,NA,NA,12182.6808705312,3631.71965420066,11019.0225127278,9973.50808576836,7074.21311158452
"122",2015-12-21,50000,NA,NA,NA,NA,NA,11106.1293220612,2297.06861907849,6744.45220101791,6074.39465208558,4762.11552281179
"123",2015-12-28,50000,NA,NA,NA,NA,NA,11106.1273162386,2264.91988165332,6744.45220102055,6016.6720896451,4252.86544701753
"124",2016-01-04,0,NA,NA,NA,NA,NA,10158.5781753576,1400.43147845555,6314.22502233847,2934.61471338067,3387.01923267121
